Date,TAPNO,HOTMETALSTART,HOTMETALEND,SLAGSTART,CastHouse,Shift,DrillBitDIAMM,TapHoleLength,Mass,Pushed,PluggingPressure,SGP,DSP
01-01-2024,125743,22:54,0:24,23:31,A,C,45,2.5,VVEL 1 : SHIN 1,160,146,130,
01-01-2024,125744,1:44,3:05,2:20,A,C,45,2.5,VVEL 1 : SHIN 1,160,190,110,
01-01-2024,125745,4:20,5:40,5:06,A,C,45,2.5,VVEL 1 : SHIN 1,160,181,80,20
01-01-2024,125746,7:05,8:35,7:35,A,A,45,2.5,VVEL 1 : SHIN 1,160,141,120,
01-01-2024,125747,20:10,21:54,21:23,A,B,45,2.7,VVEL 1 : SHIN 1,160,166,100,
02-01-2024,125748,23:20,0:50,0:05,A,C,45,2.6,VVEL 1 : SHIN 1,160,257,140,
02-01-2024,125749,2:15,4:00,3:28,A,C,45,2.6,VVEL 1 : SHIN 1,160,243,80,
02-01-2024,125750,5:15,6:35,6:13,A,C,45,2.6,VVEL 1 : SHIN 1,160,239,120,20
02-01-2024,125751,8:05,9:30,9:05,A,A,45,2.5,VVEL 1 : SHIN 1,160,207,,100
02-01-2024,125752,11:05,12:25,11:50,A,A,45,2.4,VVEL 1 : SHIN 1,160,244,120,20
02-01-2024,125753,13:40,14:30,14:08,A,A,45,2.5,VVEL 1 : SHIN 1,160,236,90,
02-01-2024,125754,16:07,17:12,16:34,A,B,45,2.5,VVEL 1 : SHIN 1,160,191,110,
02-01-2024,125755,18:40,20:02,19:12,A,B,45,2.4,VVEL 1 : SHIN 1,160,179,140,
02-01-2024,125756,21:25,22:39,22:03,A,B,45,2.4,VVEL 1 : SHIN 1,160,139,130,
03-01-2024,125757,0:03,1:14,0:29,A,C,45,2.3,VVEL 1 : SHIN 1,160,253,100,
03-01-2024,125758,2:35,3:50,3:11,A,C,45,2.3,VVEL 1 : SHIN 1,160,180,90,
03-01-2024,125759,5:10,6:15,5:43,A,C,45,2.3,VVEL 1 : SHIN 1,160,259,140,
03-01-2024,125760,7:47,8:52,8:24,A,A,45,2.3,VVEL 1 : SHIN 1,160,174,70,40
03-01-2024,125761,10:13,11:40,10:59,A,A,45,2.5,VVEL 1 : SHIN 1,160,150,90,
03-01-2024,125762,13:02,14:37,13:41,A,A,45,2.4,VVEL 1 : SHIN 1,160,233,110,
03-01-2024,125763,15:47,17:31,16:47,A,B,45,2.5,VVEL 1 : SHIN 1,160,145,100,20
03-01-2024,125764,18:31,20:07,19:03,A,B,45,2.5,VVEL 1 : SHIN 1,160,291,90,
04-01-2024,125765,21:23,22:42,21:49,A,B,45,2.4,VVEL 1 : SHIN 1,160,208,130,
04-01-2024,125766,0:03,1:08,0:33,A,C,45,2.3,VVEL 1 : SHIN 1,160,218,100,
04-01-2024,125767,2:44,3:46,2:55,A,C,45,2.3,VVEL 1 : SHIN 1,160,242,40,40
04-01-2024,125768,5:16,6:25,5:42,A,C,45,2.4,VVEL 1 : SHIN 1,160,258,110,
04-01-2024,125769,7:40,8:54,8:16,A,A,45,2.5,VVEL 1 : SHIN 1,160,203,100,
04-01-2024,125770,10:31,12:20,11:20,B,A,45,2.5,VVEL 1 : SHIN 1,160,171,110,
04-01-2024,125771,13:34,15:12,14:21,B,A,45,2.5,VVEL 1 : SHIN 1,160,211,160,
04-01-2024,125772,16:32,17:59,17:13,B,B,45,2.5,VVEL 1 : SHIN 1,160,227,90,30
04-01-2024,125773,19:26,21:08,20:35,B,B,45,2.6,VVEL 1 : SHIN 1,160,196,120,
05-01-2024,125774,22:20,23:37,23:01,B,B,45,2.6,VVEL 1 : SHIN 1,160,212,110,
05-01-2024,125775,0:52,2:08,1:33,B,C,45,2.5,VVEL 1 : SHIN 1,160,222,130,
05-01-2024,125776,3:30,5:14,4:04,B,C,45,2.5,VVEL 1 : SHIN 1,160,207,140,
05-01-2024,125777,6:22,7:49,6:46,B,C,45,2.5,VVEL 1 : SHIN 1,160,196,110,
05-01-2024,125778,9:03,10:21,9:37,B,A,45,2.5,VVEL 1 : SHIN 1,160,266,100,
05-01-2024,125779,11:42,12:57,12:18,B,A,45,2.4,VVEL 1 : SHIN 1,160,189,120,
05-01-2024,125780,14:16,15:27,14:42,B,A,45,2.4,VVEL 1 : SHIN 1,160,251,100,
05-01-2024,125781,17:05,18:30,17:42,B,B,45,2.5,VVEL 1 : SHIN 1,160,213,110,
05-01-2024,125782,20:05,21:20,20:48,B,B,45,2.5,VVEL 1 : SHIN 1,160,215,100,
06-01-2024,125783,22:56,23:50,23:22,B,B,45,2.4,VVEL 1 : SHIN 1,160,189,100,
06-01-2024,125784,1:16,2:54,2:08,B,C,45,2.4,VVEL 1 : SHIN 1,160,206,150,
06-01-2024,125785,4:02,5:30,4:47,B,C,45,2.5,VVEL 1 : SHIN 1,160,192,110,20
06-01-2024,125786,6:46,7:49,7:20,B,C,45,2.5,VVEL 1 : SHIN 1,160,231,100,
06-01-2024,125787,9:21,10:49,9:53,B,A,45,2.5,VVEL 1 : SHIN 1,160,157,90,
06-01-2024,125788,12:07,13:19,12:35,B,A,45,2.3,VVEL 1 : SHIN 1,160,176,100,20
06-01-2024,125789,14:45,15:46,15:08,B,A,45,2.3,VVEL 1 : SHIN 1,160,195,110,
06-01-2024,125790,17:20,18:29,17:52,B,B,45,2.3,VVEL 1 : SHIN 1,160,210,90,
06-01-2024,125791,20:00,21:19,20:40,B,B,45,2.5,VVEL 1 : SHIN 1,160,213,130,
07-01-2024,125792,22:44,0:15,23:26,B,B,45,2.4,VVEL 1 : SHIN 1,160,180,130,30
07-01-2024,125793,1:20,2:27,2:02,B,C,45,2.4,VVEL 1 : SHIN 1,160,230,80,
07-01-2024,125794,3:51,5:02,4:20,B,C,45,2.4,VVEL 1 : SHIN 1,160,207,140,
07-01-2024,125795,6:38,7:38,7:07,B,C,45,2.5,VVEL 1 : SHIN 1,160,225,110,
07-01-2024,125796,9:15,10:18,9:44,B,A,45,2.4,VVEL 1 : SHIN 1,160,190,120,
07-01-2024,125797,11:52,12:59,12:28,B,A,45,2.3,VVEL 1 : SHIN 1,160,225,100,
07-01-2024,125798,14:35,16:26,15:09,B,A,45,2.3,VVEL 1 : SHIN 1,160,196,160,
07-01-2024,125799,17:49,19:00,18:35,B,B,45,2.3,VVEL 1 : SHIN 1,160,259,100,10
07-01-2024,125800,20:21,21:40,20:55,B,B,45,2.3,VVEL 1 : SHIN 2,160,179,90,
08-01-2024,125801,22:55,0:00,23:25,B,B,45,2.3,VVEL 1 : SHIN 2,160,270,120,
08-01-2024,125802,1:15,2:31,1:35,B,C,45,2.2,VVEL 1 : SHIN 2,160,223,130,
08-01-2024,125803,3:46,5:04,4:12,B,C,45,2.2,VVEL 1 : SHIN 2,160,227,110,
08-01-2024,125804,6:41,7:57,7:12,B,C,45,2.4,VVEL 1 : SHIN 2,160,243,110,
08-01-2024,125805,9:20,10:25,9:52,B,A,45,2.3,VVEL 2 : SHIN 1,160,223,100,
08-01-2024,125806,12:06,13:21,12:47,B,A,45,2.5,VVEL 2 : SHIN 1,160,267,110,
08-01-2024,125807,14:43,16:31,15:46,B,A,45,2.4,VVEL 2 : SHIN 1,160,178,100,
08-01-2024,125808,17:49,19:09,18:26,B,B,45,2.4,VVEL 2 : SHIN 1,160,183,130,
08-01-2024,125809,20:37,21:51,21:11,B,B,45,2.4,VVEL 2 : SHIN 1,160,210,140,
09-01-2024,125810,23:30,1:00,0:30,B,C,45,2.4,VVEL 2 : SHIN 1,160,227,110,
09-01-2024,125811,2:14,3:40,2:54,B,C,45,2.4,VVEL 2 : SHIN 1,160,238,120,
09-01-2024,125812,5:06,6:20,5:42,B,C,45,2.4,VVEL 2 : SHIN 1,160,170,110,
09-01-2024,125813,7:51,9:17,8:44,B,A,45,2.2,VVEL 2 : SHIN 1,160,215,120,
09-01-2024,125814,10:51,12:10,11:26,B,A,45,2.2,VVEL 2 : SHIN 1,160,187,130,
09-01-2024,125815,13:39,14:49,14:12,B,A,45,2.2,VVEL 2 : SHIN 1,160,208,100,
09-01-2024,125816,16:10,17:23,16:43,B,B,45,2.2,VVEL 1 : MISU 1,160,248,90,
09-01-2024,125817,18:44,20:17,19:15,B,B,45,2.2,VVEL 1 : MISU 1,160,198,90,
09-01-2024,125818,21:35,23:00,22:10,B,B,45,2.2,VVEL 1 : MISU 1,160,272,130,30
10-01-2024,125819,0:30,1:55,1:20,B,C,45,2.3,VVEL 1 : MISU 1,160,237,120,
10-01-2024,125820,3:20,4:45,4:05,B,C,45,2.3,VVEL 1 : MISU 1,160,233,110,
10-01-2024,125821,6:10,7:24,6:52,B,C,45,2.4,VVEL 1 : MISU 1,160,241,110,20
10-01-2024,125822,8:54,10:25,9:51,B,A,45,2.4,VVEL 1 : MISU 1,160,211,120,
10-01-2024,125823,12:03,13:15,12:38,B,A,45,2.4,VVEL 1 : MISU 1,160,191,100,30
10-01-2024,125824,14:45,16:10,15:15,A,A,45,2.5,VVEL 1 : SHIN 1,160,172,120,
10-01-2024,125825,17:35,18:55,18:23,A,B,45,2.5,VVEL 1 : SHIN 1,160,192,110,
10-01-2024,125826,20:15,21:15,20:37,A,B,45,2.5,VVEL 1 : SHIN 1,160,204,110,
10-01-2024,125827,22:55,0:35,23:46,A,B,45,2.5,VVEL 1 : SHIN 1,160,177,90,
11-01-2024,125828,1:48,3:39,2:55,A,C,45,2.4,VVEL 1 : SHIN 1,160,260,120,
11-01-2024,125829,5:18,6:02,5:40,A,C,45,2.5,VVEL 1 : SHIN 1,160,178,60,40
11-01-2024,125830,7:45,8:58,8:14,A,A,45,2.4,VVEL 1 : SHIN 1,160,195,80,
11-01-2024,125831,10:28,11:41,10:52,A,A,45,2.4,VVEL 1 : SHIN 1,160,133,90,
11-01-2024,125832,13:20,15:39,14:39,A,A,45,2.4,VVEL 1 : SHIN 1,160,167,100,50
11-01-2024,125833,16:54,18:03,17:17,A,B,45,2.4,VVEL 1 : SHIN 1,160,231,90,
11-01-2024,125834,19:30,20:30,20:00,A,B,45,2.3,VVEL 1 : SHIN 1,160,251,80,
11-01-2024,125835,22:10,23:25,22:40,A,B,45,2.4,VVEL 1 : SHIN 1,160,190,120,10
12-01-2024,125836,0:55,2:10,1:30,A,C,45,2.5,VVEL 1 : SHIN 1,160,225,90,
12-01-2024,125837,3:40,4:45,4:15,A,C,45,2.4,VVEL 1 : SHIN 1,160,236,90,50
12-01-2024,125838,5:58,6:50,6:21,A,C,45,2.5,VVEL 1 : SHIN 1,160,232,100,
12-01-2024,125839,8:30,9:54,9:00,A,A,45,2.4,VVEL 1 : SHIN 1,160,147,90,
12-01-2024,125840,11:19,12:18,11:40,A,A,45,2.4,VVEL 1 : SHIN 1,160,214,80,
12-01-2024,125841,13:54,15:01,14:24,A,A,45,2.5,VVEL 1 : SHIN 1,160,191,90,
12-01-2024,125842,16:25,17:30,16:50,A,B,45,2.2,VVEL 1 : SHIN 1,160,242,100,
12-01-2024,125843,19:10,20:21,19:40,A,B,45,2.2,VVEL 1 : SHIN 1,160,207,130,
13-01-2024,125844,21:50,23:20,22:17,A,B,45,2.2,VVEL 1 : SHIN 1,160,235,90,
13-01-2024,125845,0:50,2:35,1:50,A,B,45,2.3,VVEL 2 : SHIN 1,160,248,130,10
13-01-2024,125846,3:55,4:55,4:33,A,C,45,2.3,VVEL 2 : SHIN 1,160,250,90,
13-01-2024,125847,6:30,7:45,7:12,A,C,45,2.3,VVEL 2 : SHIN 1,160,173,80,20
13-01-2024,125848,9:19,10:29,9:51,A,A,45,2.4,VVEL 2 : SHIN 1,160,234,95,
13-01-2024,125849,12:10,13:46,12:53,A,A,45,2.4,VVEL 2 : SHIN 1,160,168,140,
13-01-2024,125850,15:18,16:30,16:00,A,B,45,2.3,VVEL 2 : SHIN 1,160,206,100,
13-01-2024,125851,17:55,19:24,18:22,A,B,45,2.4,VVEL 2 : SHIN 1,160,189,80,
13-01-2024,125852,20:50,22:22,21:44,A,B,45,2.4,VVEL 2 : SHIN 1,160,211,120,
14-01-2024,125853,23:40,0:55,0:15,A,C,45,2.3,VVEL 2 : SHIN 1,160,192,110,
14-01-2024,125854,2:20,3:45,2:55,A,C,45,2.4,VVEL 2 : SHIN 1,160,241,90,
14-01-2024,125855,5:25,6:25,5:50,A,C,45,2.3,VVEL 2 : SHIN 1,160,241,80,30
14-01-2024,125856,7:53,9:39,8:30,A,A,45,2.4,VVEL 2 : SHIN 1,160,202,100,
14-01-2024,125857,10:59,12:48,12:06,A,A,45,2.4,VVEL 2 : SHIN 1,160,219,100,20
14-01-2024,125858,14:04,15:29,14:31,A,A,45,2.4,VVEL 2 : SHIN 1,160,260,100,
14-01-2024,125859,17:00,18:30,17:46,A,B,45,2.3,VVEL 2 : SHIN 1,160,260,120,
14-01-2024,125860,19:45,21:00,20:06,A,B,45,2.3,VVEL 2 : SHIN 1,160,245,90,
14-01-2024,125861,22:30,23:50,23:10,A,B,45,2.3,VVEL 2 : SHIN 1,160,238,90,
15-01-2024,125862,1:35,3:10,2:25,A,C,45,2.3,VVEL 2 : SHIN 1,160,226,140,30
15-01-2024,125863,4:40,6:00,5:20,A,C,45,2.3,VVEL 2 : SHIN 1,160,242,90,
15-01-2024,125864,7:30,8:56,8:21,A,A,45,2.3,VVEL 2 : SHIN 1,160,217,100,
15-01-2024,125865,10:30,11:44,11:04,A,A,45,2.3,CHUS 1 : VVEL 2,160,258,70,30
15-01-2024,125866,13:26,14:44,13:56,A,A,45,2.4,CHUS 1 : VVEL 2,160,268,100,10
15-01-2024,125867,16:10,17:45,16:40,A,B,45,2.3,CHUS 1 : VVEL 2,160,220,100,
15-01-2024,125868,19:10,20:55,19:58,A,B,45,2.4,CHUS 1 : VVEL 2,160,224,130,
15-01-2024,125869,22:10,23:30,22:48,A,B,45,2,CHUS 1 : VVEL 2,160,181,120,
16-01-2024,125870,0:55,2:50,1:50,A,C,45,2.2,CHUS 1 : VVEL 2,160,231,130,
16-01-2024,125871,4:15,5:56,5:00,A,C,45,2.2,CHUS 1 : VVEL 2,160,191,100,
16-01-2024,125872,7:22,9:40,8:19,A,A,45,2.1,CHUS 1 : VVEL 2,160,259,150,
16-01-2024,125873,11:28,13:12,12:00,A,A,45,2.1,CHUS 1 : VVEL 2,160,261,100,
16-01-2024,125874,14:20,15:50,15:10,B,A,45,2.4,CHUS 1 : VVEL 2,160,194,80,60
16-01-2024,125875,17:10,18:20,17:45,B,B,45,2.4,CHUS 1 : VVEL 2,160,265,60,
16-01-2024,125876,19:55,21:37,20:50,B,B,45,2.3,CHUS 1 : VVEL 2,160,200,130,
16-01-2024,125877,23:30,1:29,0:45,B,C,45,2.2,CHUS 1 : VVEL 2,160,238,60,40
